Id,Dm,Nx,Mx,Ah,Params,LossTrain, 1-gram, 2-gram, 3-gram, 4-gram-bleu
EX-32,512,3,5,32,1.13E+07,2.39E-01,7.39E-01,6.21E-01,6.14E-01,6.19E-01
EX-131,4096,3,5,16,2.66E+08,1.30E-01,7.53E-01,6.25E-01,6.08E-01,6.17E-01
EX-120,4096,3,1,8,2.66E+08,1.33E-01,7.39E-01,6.23E-01,6.09E-01,6.13E-01
EX-122,4096,3,5,8,2.66E+08,1.40E-01,7.02E-01,5.99E-01,5.98E-01,5.98E-01
EX-111,4096,3,1,4,2.66E+08,1.46E-01,7.22E-01,6.03E-01,5.87E-01,5.95E-01
EX-130,4096,3,3,16,2.66E+08,1.35E-01,7.63E-01,6.16E-01,5.81E-01,5.95E-01
EX-31,512,3,3,32,1.13E+07,2.35E-01,7.66E-01,6.08E-01,5.73E-01,5.94E-01
EX-103,2048,3,3,32,8.28E+07,1.33E-01,6.95E-01,5.95E-01,5.94E-01,5.94E-01
EX-77,2048,3,5,4,8.28E+07,1.53E-01,7.65E-01,5.99E-01,5.81E-01,5.90E-01
EX-104,2048,3,5,32,8.28E+07,1.35E-01,7.13E-01,5.91E-01,5.78E-01,5.86E-01
EX-85,2048,3,3,8,8.28E+07,1.45E-01,7.66E-01,6.09E-01,5.79E-01,5.86E-01
EX-30,512,3,1,32,1.13E+07,2.40E-01,7.07E-01,5.90E-01,5.77E-01,5.84E-01
EX-58,1024,3,3,16,2.88E+07,1.67E-01,7.13E-01,5.88E-01,5.71E-01,5.80E-01
EX-137,4096,1,5,32,2.66E+08,1.91E-01,7.51E-01,5.99E-01,5.58E-01,5.78E-01
EX-57,1024,3,1,16,2.88E+07,1.72E-01,6.86E-01,5.81E-01,5.76E-01,5.77E-01
EX-94,2048,3,3,16,8.28E+07,1.37E-01,6.91E-01,5.87E-01,5.69E-01,5.75E-01
EX-76,2048,3,3,4,8.28E+07,1.55E-01,7.04E-01,5.71E-01,5.57E-01,5.66E-01
EX-48,1024,3,1,8,2.88E+07,1.78E-01,7.26E-01,5.79E-01,5.47E-01,5.63E-01
EX-93,2048,3,1,16,8.28E+07,1.36E-01,7.06E-01,5.66E-01,5.42E-01,5.53E-01
EX-40,1024,3,3,4,2.88E+07,1.88E-01,7.29E-01,5.76E-01,5.30E-01,5.51E-01
EX-75,2048,3,1,4,8.28E+07,1.54E-01,7.19E-01,5.57E-01,5.26E-01,5.46E-01
EX-67,1024,3,3,32,2.88E+07,1.63E-01,6.53E-01,5.47E-01,5.40E-01,5.43E-01
EX-100,2048,1,3,32,8.28E+07,1.71E-01,6.73E-01,5.28E-01,5.16E-01,5.27E-01
EX-86,2048,3,5,8,8.28E+07,1.44E-01,6.38E-01,5.30E-01,5.23E-01,5.25E-01
EX-41,1024,3,5,4,2.88E+07,1.86E-01,7.06E-01,5.39E-01,4.93E-01,5.12E-01
EX-59,1024,3,5,16,2.88E+07,1.72E-01,6.35E-01,5.04E-01,4.83E-01,4.95E-01
EX-101,2048,1,5,32,8.28E+07,1.73E-01,6.31E-01,4.95E-01,4.86E-01,4.94E-01
EX-136,4096,1,3,32,2.66E+08,1.86E-01,6.46E-01,4.98E-01,4.70E-01,4.87E-01
EX-50,1024,3,5,8,2.88E+07,1.73E-01,6.39E-01,4.95E-01,4.67E-01,4.74E-01
EX-63,1024,1,1,32,2.88E+07,1.80E-01,6.00E-01,4.76E-01,4.64E-01,4.72E-01
EX-91,2048,1,3,16,8.28E+07,2.00E-01,5.84E-01,4.63E-01,4.51E-01,4.57E-01
EX-84,2048,3,1,8,8.28E+07,1.45E-01,5.86E-01,4.73E-01,4.59E-01,4.56E-01
EX-27,512,1,1,32,1.13E+07,2.25E-01,6.34E-01,4.71E-01,4.37E-01,4.51E-01
EX-64,1024,1,3,32,2.88E+07,1.76E-01,6.17E-01,4.60E-01,4.27E-01,4.37E-01
EX-65,1024,1,5,32,2.88E+07,1.77E-01,6.13E-01,4.61E-01,4.12E-01,4.35E-01
EX-47,1024,1,5,8,2.88E+07,2.32E-01,6.09E-01,4.57E-01,4.28E-01,4.34E-01
EX-56,1024,1,5,16,2.88E+07,1.96E-01,5.94E-01,4.43E-01,4.08E-01,4.22E-01
EX-135,4096,1,1,32,2.66E+08,1.87E-01,5.74E-01,4.36E-01,4.03E-01,4.11E-01
EX-28,512,1,3,32,1.13E+07,2.21E-01,5.91E-01,4.19E-01,3.78E-01,3.91E-01
EX-92,2048,1,5,16,8.28E+07,1.97E-01,5.83E-01,4.23E-01,3.89E-01,3.90E-01
EX-29,512,1,5,32,1.13E+07,2.27E-01,5.99E-01,4.19E-01,3.76E-01,3.87E-01
EX-55,1024,1,3,16,2.88E+07,1.96E-01,5.94E-01,4.11E-01,3.75E-01,3.85E-01
EX-45,1024,1,1,8,2.88E+07,2.38E-01,5.43E-01,3.83E-01,3.57E-01,3.73E-01
EX-82,2048,1,3,8,8.28E+07,2.28E-01,5.16E-01,3.83E-01,3.58E-01,3.69E-01
EX-54,1024,1,1,16,2.88E+07,1.94E-01,5.35E-01,3.90E-01,3.59E-01,3.67E-01
EX-110,4096,1,5,4,2.66E+08,3.14E-01,5.30E-01,3.75E-01,3.41E-01,3.57E-01
EX-99,2048,1,1,32,8.28E+07,1.73E-01,4.75E-01,3.58E-01,3.51E-01,3.55E-01
EX-46,1024,1,3,8,2.88E+07,2.31E-01,5.12E-01,3.68E-01,3.32E-01,3.50E-01
EX-119,4096,1,5,8,2.66E+08,2.54E-01,5.48E-01,3.76E-01,3.21E-01,3.50E-01
EX-90,2048,1,1,16,8.28E+07,1.98E-01,5.32E-01,3.58E-01,3.18E-01,3.42E-01
EX-81,2048,1,1,8,8.28E+07,2.38E-01,5.03E-01,3.61E-01,3.26E-01,3.41E-01
EX-118,4096,1,3,8,2.66E+08,2.59E-01,4.42E-01,3.12E-01,2.88E-01,2.98E-01
EX-36,1024,1,1,4,2.88E+07,2.84E-01,3.32E-01,3.10E-01,2.85E-01,2.95E-01
EX-72,2048,1,1,4,8.28E+07,2.81E-01,4.89E-01,3.07E-01,2.67E-01,2.91E-01
EX-128,4096,1,5,16,2.66E+08,2.21E-01,4.45E-01,3.05E-01,2.80E-01,2.89E-01
EX-127,4096,1,3,16,2.66E+08,2.19E-01,4.11E-01,2.87E-01,2.70E-01,2.78E-01
EX-126,4096,1,1,16,2.66E+08,2.20E-01,4.02E-01,2.78E-01,2.57E-01,2.66E-01
EX-74,2048,1,5,4,8.28E+07,2.86E-01,4.71E-01,3.05E-01,2.44E-01,2.55E-01
EX-83,2048,1,5,8,8.28E+07,2.32E-01,4.21E-01,2.69E-01,2.36E-01,2.52E-01
EX-117,4096,1,1,8,2.66E+08,2.51E-01,4.44E-01,2.75E-01,2.34E-01,2.49E-01
EX-38,1024,1,5,4,2.88E+07,2.83E-01,3.90E-01,2.18E-01,1.92E-01,2.06E-01
EX-73,2048,1,3,4,8.28E+07,2.83E-01,4.18E-01,2.27E-01,1.74E-01,1.99E-01
EX-109,4096,1,3,4,2.66E+08,3.13E-01,3.40E-01,1.87E-01,1.55E-01,1.72E-01
EX-37,1024,1,3,4,2.88E+07,2.83E-01,3.28E-01,1.39E-01,1.00E-01,1.23E-01
EX-108,4096,1,1,4,2.66E+08,3.07E-01,2.21E-01,1.56E-01,1.10E-01,1.18E-01
